national_id_no,full_name,gender,date_of_birth,address,id_issue_date,id_status,linked_beneficiary_id,gender_clean,date_of_birth_clean,dob_parse_failed,id_issue_date_clean,issue_date_parse_failed,address_missing,id_status_missing,no_linked_beneficiary,data_quality_flags
41422-6959024-2,Lisa Long,Female,1992-05-02,"20314 Rodriguez Grove, Johnsonmouth",2020-12-06,Active,,Female,1992-05-02,False,2020-12-06,False,False,False,True,
89945-5916870-2,Lynn Morris,Female,2008-02-21,"4681 Gray Bypass Suite 343, Nicholsfort",2019-06-10,Expired,,Female,2008-02-21,False,2019-06-10,False,False,False,True,
47070-3900311-2,Kathleen Bell,Female,1968-04-04,"Punjab, South Tina, 449 Veronica Extensions",2016-10-06,Active,,Female,1968-04-04,False,2016-10-06,False,False,False,True,
26695-1898591-8,Brandon Martinez,Male,06-07-1994,"Khyber Pakhtunkhwa, Abbottabad, 0163 Griffin Stravenue Apt. 218",2022-03-29,Active,BEN-001828,Male,1994-07-06,False,2022-03-29,False,False,False,False,
45408-4959035-9,Justin Jones,Male,1980-08-01,"Khyber Pakhtunkhwa, Mardan, 7122 Kirsten Trail Suite 879",2022-01-04,Active,BEN-003651,Male,1980-08-01,False,2022-01-04,False,False,False,False,
02009-4591862-8,Mark Akins,Male,1999-08-18,"36065 James Run Suite 247, Rawalpindi, Punjab",2025-05-09,Expired,BEN-002891,Male,1999-08-18,False,2025-05-09,False,False,False,False,
83471-3456417-8,  Amy Solis,Female,1998-10-28,"5924 Gabrielle Trace, Nicoleville, Punjab",2018-05-24,Active,,Female,1998-10-28,False,2018-05-24,False,False,False,True,
91432-1571603-6,Sarah Cooke,Female,1989-11-24,"077 Bell Station, Mardan",2016-09-06,Expired,BEN-004180,Female,1989-11-24,False,2016-09-06,False,False,False,False,
65878-2631261-6,Michele Hansen,Female,1990-02-16,"037 Garcia Shores, Sukkur",2022-10-26,Active,BEN-003813,Female,1990-02-16,False,2022-10-26,False,False,False,False,
43837-2517185-1,Jessica Howard,Female,1964-05-18,"Punjab, East Shannontown, 6247 Anthony Ports Apt. 288",2015-10-26,Expired,,Female,1964-05-18,False,2015-10-26,False,False,False,True,
62663-1835516-1,John White,Male,1974-12-31,"0986 Peter Walk, Ryanview, Punjab",2025-03-07,Active,,Male,1974-12-31,False,2025-03-07,False,False,False,True,
32325-6044948-8,Brian Murphy,Male,1949-12-16,"223 Amanda Groves, Karachi",2016-05-26,Expired,BEN-001278,Male,1949-12-16,False,2016-05-26,False,False,False,False,
36599-2518659-0,Kathy Rich,Female,2003-04-10,"64106 Dustin Courts Suite 364, Phelpsside",2013-05-03,Active,,Female,2003-04-10,False,2013-05-03,False,False,False,True,
77573-5407075-8,David Hogan,Male,1959-02-07,"083 Gill Glen, Sukkur, Sindh",2016-03-09,Active,BEN-004437,Male,1959-02-07,False,2016-03-09,False,False,False,False,
25797-1690377-7,Debra Rivas,Female,1957-06-16,"22793 Andrea Lakes Apt. 459, Sialkot",2018-05-05,Active,BEN-001523,Female,1957-06-16,False,2018-05-05,False,False,False,False,
11998-2758105-6,Matthew Zavala,Male,1983-07-07,"Balochistan, Gwadar, 34095 Morgan Burg",2017-01-17,Expired,BEN-000982,Male,1983-07-07,False,2017-01-17,False,False,False,False,
33927-6351052-2,James Perry,Male,1966-05-01,"Punjab, North Taylor, 286 Garrett Hills Apt. 027",2012-01-17,Expired,,Male,1966-05-01,False,2012-01-17,False,False,False,True,
11743-1556327-4,Aaron Campbell,Male,11-07-2002,"0838 Richard Land Apt. 871, Lahore",2015-06-04,Expired,BEN-000232,Male,2002-07-11,False,2015-06-04,False,False,False,False,
51787-8192212-9,Brittany Schmidt,Female,1976-06-29,"19570 Jay Wells Suite 639, Sibi",2023-11-06,Active,BEN-004030,Female,1976-06-29,False,2023-11-06,False,False,False,False,
29650-6628784-3,Marcia Bernard,Female,1960-05-04,"8589 Rivera Trail Suite 149, Manninghaven",2013-09-30,Active,,Female,1960-05-04,False,2013-09-30,False,False,False,True,
33012-4469209-9,Courtney Leblanc,Female,2007-12-26,"3911 Catherine Crossroad, Faisalabad",2025-04-05,Active,BEN-004668,Female,2007-12-26,False,2025-04-05,False,False,False,False,
98606-8546017-2,Nicole Cook,Female,12-05-1990,"Punjab, Gujranwala, 26498 Joyce Trafficway Apt. 913",2021-07-30,Active,BEN-003889,Female,1990-05-12,False,2021-07-30,False,False,False,False,
05586-1774914-4,MariaD ay,Female,1947-01-06,"Punjab, Lahore, 15680 Bautista Flats Suite 942",2016-06-18,Active,BEN-000848,Female,1947-01-06,False,2016-06-18,False,False,False,False,
30956-5803984-5,Andrew Allen,Male,31-05-1949,"33234 Fowler Mountains, Martinstad, Punjab",2025-01-27,Active,,Male,1949-05-31,False,2025-01-27,False,False,False,True,
37988-4135312-7,Grant Duncan,Male,1958-12-07,"Khyber Pakhtunkhwa, Peshawar, 15669 Molly Spurs Suite 166",2014-09-13,Expired,BEN-000491,Male,1958-12-07,False,2014-09-13,False,False,False,False,
10671-2268014-7,Gavin Barajas,Male,1983-01-31,"Punjab, Ariasland, 9847 Carolyn Isle Apt. 479",2018-04-27,Expired,,Male,1983-01-31,False,2018-04-27,False,False,False,True,
98721-3133025-3,Ryan Gonzalez,Male,1949-08-29,"0813 Jones Shores, Arnoldborough",2015-04-10,Active,,Male,1949-08-29,False,2015-04-10,False,False,False,True,
88242-1631958-1,Wendy Colon,Female,1998-05-20,"Balochistan, Sibi, 4146 Johnson Common",2015-04-17,Expired,BEN-003382,Female,1998-05-20,False,2015-04-17,False,False,False,False,
97456-6960735-8,Tyler Turner,Male,1991-01-23,"Punjab, Frazierland, 831 Love Walks Apt. 505",2017-04-11,Active,,Male,1991-01-23,False,2017-04-11,False,False,False,True,
16143-1674919-8,Kelly Ray,Female,1972-08-22,"503 Bradley Roads, Bahawalpur, Punjab",2016-02-03,Active,BEN-002705,Female,1972-08-22,False,2016-02-03,False,False,False,False,
47346-2478278-3,Chistopher Gardner,Male,1992-12-21,"8392 Garcia Knolls, Karachi",2014-08-22,Active,BEN-001547,Male,1992-12-21,False,2014-08-22,False,False,False,False,
52591-6269337-7,Kevin Davies,Male,1993-02-14,"139 Newman Lodge, Mardan",2012-07-21,,BEN-001503,Male,1993-02-14,False,2012-07-21,False,False,True,False,id_status_missing
