national_id_no,full_name,gender,date_of_birth,address,id_issue_date,id_status,linked_beneficiary_id,gender_clean,date_of_birth_clean,dob_parse_failed,id_issue_date_clean,issue_date_parse_failed,address_missing,id_status_missing,no_linked_beneficiary,data_quality_flags
61263-2582537-5,Thomas Welch,Male,1991-06-17,"0430 Miller Estates, Michaelhaven, Punjab",2025-08-09,Expired,,Male,1991-06-17,False,2025-08-09,False,False,False,True,
59126-0671442-4,Christopher JaCkson,Male,1947-07-28,"938 Cohen Garden, Gwadar, Balochistan",2014-12-30,Active,BEN-001768,Male,1947-07-28,False,2014-12-30,False,False,False,False,
39306-3211568-9,Luis Kane,Male,1967-12-08,"Sindh, Karachi, 0078 Alicia Drive",2016-03-28,Active,BEN-001411,Male,1967-12-08,False,2016-03-28,False,False,False,False,
03594-7836724-1,Christopher Williams,Male,1972-04-16,"874 Goodman Inlet Suite 299, Mardan, Khyber Pakhtunkhwa",2012-03-07,Active,BEN-005147,Male,1972-04-16,False,2012-03-07,False,False,False,False,
36424-4316708-9,Scott Jarvis,Male,2004-11-14,"6194 Mcmillan Burgs, Lewishaven, Punjab",2013-05-25,Active,,Male,2004-11-14,False,2013-05-25,False,False,False,True,
62661-7891344-9,Brittany Coleman,Female,1963-04-14,"534 Perez Parkway, Swat",2013-01-26,Active,BEN-007230,Female,1963-04-14,False,2013-01-26,False,False,False,False,
91090-3063893-0,Josuha Holt,Male,1944-07-17,"4965 Robinson Knoll Apt. 024, Karachi, Sindh",2012-05-01,Expired,BEN-002235,Male,1944-07-17,False,2012-05-01,False,False,False,False,
20700-3380631-7,Zachary Davis,Male,1979-06-23,"85799 Barnes Shoals Suite 145, Hyderabad",2021-04-09,Active,BEN-009936,Male,1979-06-23,False,2021-04-09,False,False,False,False,
89423-6728091-5,iTna Rodriguez,Female,1996-11-10,"Sindh, Sukkur, 35600 Andrea Points",2023-06-25,Active,BEN-009723,Female,1996-11-10,False,2023-06-25,False,False,False,False,
25293-8749702-1,Stephanie Bell,Female,1948-10-16,"11827 Robert Point, Coopertown, Punjab",2024-11-15,Active,,Female,1948-10-16,False,2024-11-15,False,False,False,True,
42731-0039301-4,Holly Collins,Female,2004-02-13,"Balochistan, Gwadar, 1069 Jones Course Apt. 361",2019-01-26,Expired,BEN-009834,Female,2004-02-13,False,2019-01-26,False,False,False,False,
05899-7494441-9,Virginia Cobs,Female,30-08-1989,"84953 Chad River, Peshawar, Khyber Pakhtunkhwa",2024-04-14,Expired,BEN-003257,Female,1989-08-30,False,2024-04-14,False,False,False,False,
83401-9599111-9,Kiara White,Female,1943-07-22,"235 Miller Locks Suite 737, Mardan",2017-08-20,Active,BEN-003165,Female,1943-07-22,False,2017-08-20,False,False,False,False,
44902-3549679-9,Albert Wolfe,Male,1975-01-24,"Punjab, Sialkot, 029 Moore Orchard Apt. 302",2024-02-05,Active,BEN-004718,Male,1975-01-24,False,2024-02-05,False,False,False,False,
01140-1959500-8,Matthew Smith,Male,1991-08-23,"65144 Sarah Parks, Quetta, Balochistan",2017-07-05,Active,BEN-006974,Male,1991-08-23,False,2017-07-05,False,False,False,False,
69724-4855657-8,Christine  Smith,Female,1982-08-20,"Punjab, East Tracy, 69802 Robert Fort Apt. 708",2022-04-08,Active,,Female,1982-08-20,False,2022-04-08,False,False,False,True,
94525-9866479-8,David Perry,Male,1984-01-22,"06197 Powell Shores Apt. 355, Jamesburgh, Punjab",2025-01-19,Expired,,Male,1984-01-22,False,2025-01-19,False,False,False,True,
49112-0733359-3,oRnald Reyes,Male,1960-08-14,"8088 Bishop Crescent Apt. 741, Hyderabad, Sindh",2020-07-10,Expired,BEN-000278,Male,1960-08-14,False,2020-07-10,False,False,False,False,
02545-9316874-8,Karen  White,Female,1949-09-20,"42518 Megan Lane Suite 484, Quetta",2023-09-04,Active,BEN-004478,Female,1949-09-20,False,2023-09-04,False,False,False,False,
64670-5719660-6,Kistin Moreno,Female,1950-06-24,"66455 Charles Prairie Suite 907, Sibi",2023-08-09,Expired,BEN-000125,Female,1950-06-24,False,2023-08-09,False,False,False,False,
31782-4982465-4,Diana Torres,Female,1975-01-25,"Punjab, Lopezton, 288 Rachel Street",2021-03-22,Active,,Female,1975-01-25,False,2021-03-22,False,False,False,True,
08215-3497489-1,Michael Saunders,Male,1974-07-17,"7952 Anthony Plaza Suite 979, Karachi, Sindh",2019-08-25,Expired,BEN-003480,Male,1974-07-17,False,2019-08-25,False,False,False,False,
89689-9070557-0,Raymond Herring,Male,1953-05-13,"Punjab, Sialkot, 62686 Steven Vista Suite 685",2019-01-11,Active,BEN-006961,Male,1953-05-13,False,2019-01-11,False,False,False,False,
66102-3913326-2,Jessica Green,Female,1997-09-01,"15870 Michael Gateway, Quetta",2022-05-22,Active,BEN-000010,Female,1997-09-01,False,2022-05-22,False,False,False,False,
91926-9555375-7,Miss Elizabeth Shah  ,Female,31-07-2008,"Balochistan, Sibi, 8535 Fowler Prairie",2015-02-15,Active,BEN-009894,Female,2008-07-31,False,2015-02-15,False,False,False,False,
08966-9804580-5,Scott Hardy,Male,1954-09-25,"9911 Cristian Isle, Sukkur, Sindh",2021-12-30,Active,BEN-007606,Male,1954-09-25,False,2021-12-30,False,False,False,False,
82217-0203152-1,Richard Wagner,Male,1958-02-17,"Balochistan, Gwadar, 5950 Bryant Causeway Apt. 101",2022-07-15,Active,BEN-006725,Male,1958-02-17,False,2022-07-15,False,False,False,False,
13428-2900583-5,Rebecca Anderson,Female,1943-09-28,"06584 Jacob Expressway, Shaneview",2022-02-07,Active,,Female,1943-09-28,False,2022-02-07,False,False,False,True,
17963-4695444-2,Donald Harrell,Male,2004-11-01,,2013-04-13,Expired,BEN-000710,Male,2004-11-01,False,2013-04-13,False,True,False,False,address_missing
