disbursement_id,beneficiary_id,bank_account_number,amount_pkr,disbursement_cycle,disbursement_date,payment_method,branch_or_agent_code,status,status_clean,disbursement_date_clean,disb_date_parse_failed,amount_pkr_clean,amount_flag,payment_method_missing,data_quality_flags,shared_bank_account_flag,orphaned_beneficiary_flag
DSB-0000077,BEN-000023,PK3607754844910518,5000,2025-05,2025-05-26,Cash Pickup,BR-261,Success,Success,2025-05-26,False,5000.0,False,False,,True,False
DSB-0005723,BEN-001695,PK0465445976771697,200000.0,2025-05,2025-05-10,Cash Pickup,BR-281,Success,Success,2025-05-10,False,,True,False,amount_flag,True,False
DSB-0003615,BEN-001093,PK6349274015319724,6000,2025-04,2025-04-10,Mobile Wallet,BR-209,Success,Success,2025-04-10,False,6000.0,False,False,,True,False
DSB-0018037,BEN-000293,PK1880549701197366,6000,2025-03,,Cash Pickup,BR-100,Success,Success,,False,6000.0,False,False,,True,False
DSB-0013556,BEN-004065,PK4001416757740632,10000,2025-06,2025-06-03,Mobile Wallet,BR-289,Pending,Pending,2025-06-03,False,10000.0,False,False,,True,False
DSB-0008212,BEN-002449,PK6593680983803313,6000,2025-07,2025-07-04,Cash Pickup,BR-100,Success,Success,2025-07-04,False,6000.0,False,False,,True,False
DSB-0010937,BEN-003275,PK4135983140338168,8000,2025-06,,Mobile Wallet,BR-149,Success,Success,,False,8000.0,False,False,,True,False
DSB-0002874,BEN-000862,PK0367718447794971,8000,2025-04,2025-04-19,Cash Pickup,BR-215,Pending,Pending,2025-04-19,False,8000.0,False,False,,True,False
DSB-0010086,BEN-003019,PK7273877314244580,"Rs. 6,000",2025-05,2025-05-25,Cash Pickup,BR-134,Success,Success,2025-05-25,False,0.6,False,False,,True,False
DSB-0001800,BEN-000563,PK4080989727269109,5000,2025-04,2025-04-16,Cash Pickup,BR-160,success,Success,2025-04-16,False,5000.0,False,False,,True,False
DSB-0017236,BEN-000968,PK2988859205582069,8000,2025-04,2025-04-07,Cash Pickup,BR-102,Success,Success,2025-04-07,False,8000.0,False,False,,True,False
DSB-0017111,BEN-003112,PK3838851995578242,"7,500",2025-04,2025-04-13,Mobile Wallet,BR-228,Success,Success,2025-04-13,False,7500.0,False,False,,True,False
DSB-0009229,BEN-002760,PK0869561221622841,6000,2025-06,2025-06-19,Bank Transfer,BR-251,Success,Success,2025-06-19,False,6000.0,False,False,,True,False
DSB-0007989,BEN-002372,PK6723258639076160,6000,2025-05,2025-05-01,Cash Pickup,BR-231,Success,Success,2025-05-01,False,6000.0,False,False,,True,False
DSB-0010595,BEN-003167,PK2317740322405175,8000,2025-04,2025-04-14,Mobile Wallet,BR-257,Reversed,Reversed,2025-04-14,False,8000.0,False,False,,True,False
DSB-0013255,BEN-003977,PK9275076291739174,7500,2025-03,2025-03-03,Mobile Wallet,BR-167,Success,Success,2025-03-03,False,7500.0,False,False,,True,False
DSB-0012383,BEN-003724,PK0030705912271752,6000,2025-04,2025-04-09,Cash Pickup,BR-269,success,Success,2025-04-09,False,6000.0,False,False,,True,False
DSB-0012823,BEN-003852,PK3664177948205905,6000,2025-07,2025-07-26,Cash Pickup,BR-145,Reversed,Reversed,2025-07-26,False,6000.0,False,False,,True,False
DSB-0005439,BEN-001624,PK1535689787191427,5000,2025-03,2025-03-17,Mobile Wallet,BR-165,Reversed,Reversed,2025-03-17,False,5000.0,False,False,,True,False
DSB-0003219,BEN-000969,PK9726368324610168,"5,000",2025-02,2025-02-13,Mobile Wallet,BR-298,Success,Success,2025-02-13,False,5000.0,False,False,,True,False
DSB-0017563,BEN-001908,PK3035034330195983,7500,2025-05,2025-05-10,Cash Pickup,BR-171,Pending,Pending,2025-05-10,False,7500.0,False,False,,True,False
DSB-0012637,BEN-003803,PK4733421689283993,6000,2025-05,2025-05-23,Mobile Wallet,BR-262,pending,Pending,2025-05-23,False,6000.0,False,False,,True,False
DSB-0009111,BEN-002723,PK9280027688503517,8000,2025-04,2025-04-09,Mobile Wallet,BR-203,Success,Success,2025-04-09,False,8000.0,False,False,,True,False
DSB-0004344,BEN-001297,PK6150199842690762,"Rs. 8,000",2025-02,2025-02-24,Bank Transfer,BR-188,Succes,Success,2025-02-24,False,0.8,False,False,,True,False
DSB-0004761,BEN-001415,PK6759268069185744,10000,2025-02,2025-02-23,Cash Pickup,BR-201,Pending,Pending,2025-02-23,False,10000.0,False,False,,True,False
DSB-0004262,BEN-001269,PK6201631359333735,5000,2025-07,2025-07-24,Bank Transfer,BR-190,Reversed,Reversed,2025-07-24,False,5000.0,False,False,,True,False
DSB-0005859,BEN-001742,PK6218830999512051,10000,2025-03,2025-03-10,Bank Transfer,BR-107,Pending,Pending,2025-03-10,False,10000.0,False,False,,True,False
DSB-0013758,BEN-004131,PK3370284308689643,7500,2025-02,2025-02-28,Bank Transfer,BR-165,Success,Success,2025-02-28,False,7500.0,False,False,,True,False
DSB-0006280,BEN-001857,PK9374620431328870,6000,2025-04,2025-04-23,Bank Transfer,BR-170,Pending,Pending,2025-04-23,False,6000.0,False,False,,True,False
DSB-0005520,BEN-001641,PK0487090103933319,"Rs. 7,500",2025-04,2025-04-23,Mobile Wallet,BR-164,Success,Success,2025-04-23,False,0.75,False,False,,True,False
DSB-0009054,BEN-002705,PK0577880057409280,7500,2025-06,2025-06-27,Bank Transfer,BR-247,Reversed,Reversed,2025-06-27,False,7500.0,False,False,,True,False
DSB-0011943,BEN-003597,PK5108378479196623,8000,2025-04,2025-04-18,Mobile Wallet,BR-291,Success,Success,2025-04-18,False,8000.0,False,False,,True,False
DSB-0003531,BEN-001071,PK5321841834503413,10000,2025-02,2025-02-18,Bank Transfer,BR-213,Success,Success,2025-02-18,False,10000.0,False,False,,True,False
DSB-0015554,BEN-004648,PK0091503764059948,7500,2025-05,2025-05-09,Mobile Wallet,BR-113,Success,Success,2025-05-09,False,7500.0,False,False,,True,False
DSB-0009648,BEN-002888,PK6524225436613045,6000,2025-07,2025-07-23,Bank Transfer,BR-249,Pending,Pending,2025-07-23,False,6000.0,False,False,,True,False
DSB-0009721,BEN-002910,PK6762426730140230,8000,2025-06,2025-06-24,Mobile Wallet,BR-113,Success,Success,2025-06-24,False,8000.0,False,False,,True,False
DSB-0008170,BEN-002435,PK1616130640737317,5000,2025-04,2025-04-02,Bank Transfer,BR-139,Pending,Pending,2025-04-02,False,5000.0,False,False,,True,False
DSB-0010802,BEN-003231,PK6301764658967362,10000,2025-05,2025-05-26,Bank Transfer,BR-148,Reversed,Reversed,2025-05-26,False,10000.0,False,False,,True,False
DSB-0003791,BEN-001142,PK5351161599316537,8000,2025-04,2025-04-21,Bank Transfer,BR-102,Reversed,Reversed,2025-04-21,False,8000.0,False,False,,True,False
DSB-0009521,BEN-002844,PK5370747197863083,"Rs. 6,000",2025-03,2025-03-15,Mobile Wallet,BR-188,Pending,Pending,2025-03-15,False,0.6,False,False,,True,False
DSB-0011721,BEN-003532,PK1602122299567557,10000,2025-03,2025-03-19,Bank Transfer,BR-267,Reversed,Reversed,2025-03-19,False,10000.0,False,False,,True,False
DSB-0006808,BEN-002031,PK7451137015983425,7500,2025-03,2025-03-02,Bank Transfer,BR-231,success,Success,2025-03-02,False,7500.0,False,False,,True,False
DSB-0004214,BEN-001258,PK8812596438302601,5000,2025-05,2025-05-10,Cash Pickup,BR-215,Pending,Pending,2025-05-10,False,5000.0,False,False,,True,False
DSB-0018119,BEN-000705,PK1265492103665696,8000,2025-03,2025-03-24,Mobile Wallet,BR-157,Success,Success,2025-03-24,False,8000.0,False,False,,True,False
DSB-0000505,BEN-000146,PK3187598648505858,5000,2025-02,2025-02-13,Bank Transfer,BR-165,Reversed,Reversed,2025-02-13,False,5000.0,False,False,,True,False
DSB-0002331,BEN-000715,PK9628778574541052,"Rs. 5,000",2025-02,2025-02-09,Bank Transfer,BR-284,Success,Success,2025-02-09,False,0.5,False,False,,True,False
DSB-0015041,BEN-004499,PK5922271090092115,6000,2025-03,2025-03-07,Mobile Wallet,BR-292,Success,Success,2025-03-07,False,6000.0,False,False,,True,False
DSB-0008846,BEN-002653,PK7855543013827622,5000,2025-04,2025-04-15,Cash Pickup,BR-288,Reversed,Reversed,2025-04-15,False,5000.0,False,False,,True,False
DSB-0016352,BEN-004899,PK3301282416830136,7500,2025-03,2025-03-06,Cash Pickup,BR-175,success,Success,2025-03-06,False,7500.0,False,False,,True,False
DSB-0000060,BEN-000018,PK2019081234314517,6000,2025-07,2025-07-12,Mobile Wallet,BR-255,Success,Success,2025-07-12,False,6000.0,False,False,,True,False
DSB-0017137,BEN-002377,PK4627227297778392,6000,2025-02,2025-02-28,Mobile Wallet,BR-230,Success,Success,2025-02-28,False,6000.0,False,False,,True,False
